epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.3779999911785126,1.9999999494757503e-05,2.4309141635894775,0.6215416789054871,0.38404175639152527,2.3551626205444336,0.6480238437652588
1,0.4402916729450226,1.9999999494757503e-05,2.149592876434326,0.6929583549499512,0.4034302830696106,2.3004281520843506,0.6614466905593872
2,0.47475001215934753,1.9999999494757503e-05,2.0173075199127197,0.7272083163261414,0.4093959629535675,2.2640933990478516,0.6674124002456665
3,0.4951249957084656,1.9999999494757503e-05,1.93907630443573,0.7472500205039978,0.4213273823261261,2.261916399002075,0.6711409687995911
4,0.5160833597183228,1.9999999494757503e-05,1.8591002225875854,0.7669166922569275,0.3959731459617615,2.299891233444214,0.6577181220054626
5,0.5429583191871643,1.9999999494757503e-05,1.7831755876541138,0.7817083597183228,0.41237881779670715,2.281904935836792,0.6718866229057312
6,0.5542500019073486,1.9999999494757503e-05,1.743158221244812,0.7899583578109741,0.41909024119377136,2.266101360321045,0.6636838316917419
7,0.5679583549499512,9.999999747378752e-06,1.6838536262512207,0.8034166693687439,0.4205816686153412,2.2508883476257324,0.6718866229057312
8,0.5711249709129333,9.999999747378752e-06,1.6683367490768433,0.8097083568572998,0.4265473484992981,2.2458019256591797,0.6800894737243652
9,0.5774999856948853,9.999999747378752e-06,1.6447542905807495,0.8100833296775818,0.42281877994537354,2.2363123893737793,0.6808351874351501
10,0.5893750190734863,9.999999747378752e-06,1.6025872230529785,0.8224166631698608,0.4258016347885132,2.2391467094421387,0.68232661485672
11,0.5994583368301392,9.999999747378752e-06,1.5787677764892578,0.8272083401679993,0.43102163076400757,2.2480697631835938,0.6800894737243652
12,0.6023333072662354,9.999999747378752e-06,1.5615133047103882,0.8307083249092102,0.43475019931793213,2.237710952758789,0.6838180422782898
13,0.6118333339691162,4.999999873689376e-06,1.5426087379455566,0.8342916369438171,0.4384787380695343,2.2333920001983643,0.6897837519645691
14,0.6202083230018616,4.999999873689376e-06,1.5121455192565918,0.8428750038146973,0.4392244517803192,2.234332799911499,0.6882923245429993
15,0.6154583096504211,4.999999873689376e-06,1.519580364227295,0.8421249985694885,0.4399701654911041,2.2261080741882324,0.6875466108322144
16,0.6185416579246521,4.999999873689376e-06,1.5144433975219727,0.8442500233650208,0.43624159693717957,2.2253005504608154,0.690529465675354
17,0.628250002861023,4.999999873689376e-06,1.4844143390655518,0.8445833325386047,0.44071587920188904,2.224379539489746,0.6927666068077087
18,0.6290416717529297,4.999999873689376e-06,1.4807209968566895,0.8473333120346069,0.44146159291267395,2.2186055183410645,0.6853094696998596
19,0.6368333101272583,4.999999873689376e-06,1.4589093923568726,0.8554999828338623,0.4436987340450287,2.2154343128204346,0.6912751793861389
20,0.6401666402816772,4.999999873689376e-06,1.445797085762024,0.8568750023841858,0.4392244517803192,2.2202813625335693,0.6882923245429993
21,0.6389166712760925,4.999999873689376e-06,1.44652259349823,0.8569583296775818,0.44668158888816833,2.2173378467559814,0.6935123205184937
22,0.6399583220481873,4.999999873689376e-06,1.444146990776062,0.8567083477973938,0.4436987340450287,2.2198240756988525,0.700969398021698
23,0.6478750109672546,2.499999936844688e-06,1.4227174520492554,0.8601250052452087,0.4429530203342438,2.215320587158203,0.6950037479400635
24,0.6464166641235352,2.499999936844688e-06,1.419087529182434,0.8614583611488342,0.4384787380695343,2.2179291248321533,0.6912751793861389
